,Graph,x,y,d(G)
0,0,2,0,28.63403642
1,0,4,-3,28.63403642
2,0,3,-4,28.63403642
3,0,1,-3,28.63403642
4,0,-1,-4,28.63403642
5,0,-1,0,28.63403642
6,0,-4,3,28.63403642
7,0,-5,3,28.63403642
8,0,-3,5,28.63403642
9,1,1,5,29.23544828
10,1,5,0,29.23544828
11,1,2,-4,29.23544828
12,1,1,-1,29.23544828
13,1,-1,0,29.23544828
14,1,-4,0,29.23544828
15,1,-4,3,29.23544828
16,1,-1,5,29.23544828
17,1,0,4,29.23544828
18,2,-4,5,37.23992672
19,2,4,5,37.23992672
20,2,4,3,37.23992672
21,2,0,1,37.23992672
22,2,2,-1,37.23992672
23,2,1,-2,37.23992672
24,2,1,-4,37.23992672
25,2,-5,-5,37.23992672
26,2,-3,2,37.23992672
27,3,-5,0,29.53426619
28,3,-1,1,29.53426619
29,3,-1,2,29.53426619
30,3,0,4,29.53426619
31,3,2,5,29.53426619
32,3,3,-2,29.53426619
33,3,4,-3,29.53426619
34,3,2,-5,29.53426619
35,3,1,-4,29.53426619
36,4,-2,-1,28.40862884
37,4,0,4,28.40862884
38,4,-3,3,28.40862884
39,4,-5,-3,28.40862884
40,4,-5,-5,28.40862884
41,4,-3,-5,28.40862884
42,4,-1,-4,28.40862884
43,4,1,-5,28.40862884
44,4,0,-3,28.40862884
45,5,-5,2,28.48260558
46,5,-5,-1,28.48260558
47,5,-3,-4,28.48260558
48,5,-2,-1,28.48260558
49,5,0,0,28.48260558
50,5,-1,2,28.48260558
51,5,1,4,28.48260558
52,5,2,5,28.48260558
53,5,-5,5,28.48260558
54,6,1,1,27.00139688
55,6,2,-1,27.00139688
56,6,3,-2,27.00139688
57,6,0,-5,27.00139688
58,6,-4,-4,27.00139688
59,6,-5,1,27.00139688
60,6,-4,2,27.00139688
61,6,-3,2,27.00139688
62,6,1,4,27.00139688
63,7,4,4,29.46096103
64,7,0,5,29.46096103
65,7,0,3,29.46096103
66,7,-4,-3,29.46096103
67,7,-4,-3,29.46096103
68,7,-3,-4,29.46096103
69,7,0,-4,29.46096103
70,7,1,-5,29.46096103
71,7,5,2,29.46096103
