,p,T,eps,n,alpha,beta,gamma,Error
1,3,2,0.01,2,0.01,5,1.0,1.0
2,3,2,0.01,2,0.01,10,0.9,1.0
3,3,2,0.01,2,0.01,10,1.0,1.0
5,3,2,0.01,2,0.1,5,1.0,1.0
6,3,2,0.01,2,0.1,10,0.9,1.0
8,3,2,0.01,3,0.01,5,0.9,1.0
9,3,2,0.01,3,0.01,5,1.0,1.0
10,3,2,0.01,3,0.01,10,0.9,1.0
11,3,2,0.01,3,0.01,10,1.0,1.0
13,3,2,0.01,3,0.1,5,1.0,1.0
15,3,2,0.01,3,0.1,10,1.0,1.0
32,3,1,0.01,2,0.01,5,0.9,1.0
34,3,1,0.01,2,0.01,10,0.9,1.0
36,3,1,0.01,2,0.1,5,0.9,1.0
37,3,1,0.01,2,0.1,5,1.0,1.0
42,3,1,0.01,3,0.01,10,0.9,1.0
44,3,1,0.01,3,0.1,5,0.9,1.0
48,3,1,0.05,2,0.01,5,0.9,1.0
57,3,1,0.05,3,0.01,5,1.0,1.0
65,4,2,0.01,2,0.01,5,1.0,1.0
67,4,2,0.01,2,0.01,10,1.0,1.0
68,4,2,0.01,2,0.1,5,0.9,1.0
69,4,2,0.01,2,0.1,5,1.0,1.0
71,4,2,0.01,2,0.1,10,1.0,1.0
72,4,2,0.01,3,0.01,5,0.9,1.0
73,4,2,0.01,3,0.01,5,1.0,1.0
74,4,2,0.01,3,0.01,10,0.9,1.0
75,4,2,0.01,3,0.01,10,1.0,1.0
76,4,2,0.01,3,0.1,5,0.9,1.0
77,4,2,0.01,3,0.1,5,1.0,1.0
78,4,2,0.01,3,0.1,10,0.9,1.0
79,4,2,0.01,3,0.1,10,1.0,1.0
98,4,1,0.01,2,0.01,10,0.9,1.0
103,4,1,0.01,2,0.1,10,1.0,1.0
104,4,1,0.01,3,0.01,5,0.9,1.0
105,4,1,0.01,3,0.01,5,1.0,1.0
109,4,1,0.01,3,0.1,5,1.0,1.0
114,4,1,0.05,2,0.01,10,0.9,1.0
118,4,1,0.05,2,0.1,10,0.9,1.0
