,Graph,x,y,d(G)
0,0,0,-4,36.08645424270871
1,0,0,-5,36.08645424270871
2,0,-2,-4,36.08645424270871
3,0,-1,-2,36.08645424270871
4,0,-1,-1,36.08645424270871
5,0,-5,1,36.08645424270871
6,0,-3,5,36.08645424270871
7,0,-1,3,36.08645424270871
8,0,2,5,36.08645424270871
9,0,2,5,36.08645424270871
10,0,5,1,36.08645424270871
11,0,2,-3,36.08645424270871
12,0,0,-2,36.08645424270871
13,0,0,-3,36.08645424270871
14,1,1,-4,33.841235102062335
15,1,1,-3,33.841235102062335
16,1,4,2,33.841235102062335
17,1,5,4,33.841235102062335
18,1,2,3,33.841235102062335
19,1,2,3,33.841235102062335
20,1,0,5,33.841235102062335
21,1,-1,5,33.841235102062335
22,1,-3,5,33.841235102062335
23,1,-3,4,33.841235102062335
24,1,-3,2,33.841235102062335
25,1,-1,2,33.841235102062335
26,1,0,0,33.841235102062335
27,1,-2,-5,33.841235102062335
28,2,-3,2,34.53506692752853
29,2,-1,5,34.53506692752853
30,2,-1,5,34.53506692752853
31,2,5,4,34.53506692752853
32,2,5,2,34.53506692752853
33,2,2,0,34.53506692752853
34,2,3,-5,34.53506692752853
35,2,-1,-3,34.53506692752853
36,2,-2,-4,34.53506692752853
37,2,-4,-1,34.53506692752853
38,2,-3,0,34.53506692752853
39,2,-2,0,34.53506692752853
40,2,-3,2,34.53506692752853
41,2,-3,2,34.53506692752853
