,Graph,x,y,d(G)
0,0,0,2,25.7249199158544
1,0,4,2,25.7249199158544
2,0,3,0,25.7249199158544
3,0,4,-1,25.7249199158544
4,0,5,-5,25.7249199158544
5,0,2,-1,25.7249199158544
6,0,-2,-2,25.7249199158544
7,0,-1,-1,25.7249199158544
8,0,0,0,25.7249199158544
9,1,-5,4,29.189802495844134
10,1,-3,-2,29.189802495844134
11,1,-3,-4,29.189802495844134
12,1,1,-3,29.189802495844134
13,1,1,-2,29.189802495844134
14,1,-1,0,29.189802495844134
15,1,2,5,29.189802495844134
16,1,1,5,29.189802495844134
17,1,1,5,29.189802495844134
18,2,5,1,28.322852687681966
19,2,4,3,28.322852687681966
20,2,1,5,28.322852687681966
21,2,-3,5,28.322852687681966
22,2,-4,5,28.322852687681966
23,2,-3,4,28.322852687681966
24,2,-2,2,28.322852687681966
25,2,2,2,28.322852687681966
26,2,5,-3,28.322852687681966
