,p,T,eps,n,alpha,beta,gamma,Error
0,3,2,0.01,2,0.01,5,0.9,1.0405061532313886
1,3,2,0.01,2,0.01,5,1.0,1.0
2,3,2,0.01,2,0.01,10,0.9,1.0
3,3,2,0.01,2,0.01,10,1.0,1.0
4,3,2,0.01,2,0.1,5,0.9,1.0047795840361062
5,3,2,0.01,2,0.1,5,1.0,1.0
6,3,2,0.01,2,0.1,10,0.9,1.0
7,3,2,0.01,2,0.1,10,1.0,1.0334852772410703
8,3,2,0.01,3,0.01,5,0.9,1.0
9,3,2,0.01,3,0.01,5,1.0,1.0
10,3,2,0.01,3,0.01,10,0.9,1.0
11,3,2,0.01,3,0.01,10,1.0,1.0
12,3,2,0.01,3,0.1,5,0.9,1.0315114938532326
13,3,2,0.01,3,0.1,5,1.0,1.0
14,3,2,0.01,3,0.1,10,0.9,1.0643330929145016
15,3,2,0.01,3,0.1,10,1.0,1.0
16,3,2,0.05,2,0.01,5,0.9,1.0934961068420015
17,3,2,0.05,2,0.01,5,1.0,1.0628391260877246
18,3,2,0.05,2,0.01,10,0.9,1.1487393182874566
19,3,2,0.05,2,0.01,10,1.0,1.2328146308411303
20,3,2,0.05,2,0.1,5,0.9,1.0901356148876935
21,3,2,0.05,2,0.1,5,1.0,1.0248397024144902
22,3,2,0.05,2,0.1,10,0.9,1.0463270204649016
23,3,2,0.05,2,0.1,10,1.0,1.025900723120431
24,3,2,0.05,3,0.01,5,0.9,1.0829236019096051
25,3,2,0.05,3,0.01,5,1.0,1.0080073292555096
26,3,2,0.05,3,0.01,10,0.9,1.0846558014840504
27,3,2,0.05,3,0.01,10,1.0,1.0257618131853836
28,3,2,0.05,3,0.1,5,0.9,1.0988463554180334
29,3,2,0.05,3,0.1,5,1.0,1.1059995288260052
30,3,2,0.05,3,0.1,10,0.9,1.062843749971335
31,3,2,0.05,3,0.1,10,1.0,1.1449707794902055
