,Graph,x,y,d
0,0,2,0,28.634036416567614
1,0,4,-3,28.634036416567614
2,0,3,-4,28.634036416567614
3,0,1,-3,28.634036416567614
4,0,-1,-4,28.634036416567614
5,0,-1,0,28.634036416567614
6,0,-4,3,28.634036416567614
7,0,-5,3,28.634036416567614
8,0,-3,5,28.634036416567614
9,1,1,5,29.2354482753112
10,1,5,0,29.2354482753112
11,1,2,-4,29.2354482753112
12,1,1,-1,29.2354482753112
13,1,-1,0,29.2354482753112
14,1,-4,0,29.2354482753112
15,1,-4,3,29.2354482753112
16,1,-1,5,29.2354482753112
17,1,0,4,29.2354482753112
18,2,-4,5,37.239926721865984
19,2,4,5,37.239926721865984
20,2,4,3,37.239926721865984
21,2,0,1,37.239926721865984
22,2,2,-1,37.239926721865984
23,2,1,-2,37.239926721865984
24,2,1,-4,37.239926721865984
25,2,-5,-5,37.239926721865984
26,2,-3,2,37.239926721865984
27,3,-5,0,29.53426619290308
28,3,-1,1,29.53426619290308
29,3,-1,2,29.53426619290308
30,3,0,4,29.53426619290308
31,3,2,5,29.53426619290308
32,3,3,-2,29.53426619290308
33,3,4,-3,29.53426619290308
34,3,2,-5,29.53426619290308
35,3,1,-4,29.53426619290308
36,4,-2,-1,28.408628844885204
37,4,0,4,28.408628844885204
38,4,-3,3,28.408628844885204
39,4,-5,-3,28.408628844885204
40,4,-5,-5,28.408628844885204
41,4,-3,-5,28.408628844885204
42,4,-1,-4,28.408628844885204
43,4,1,-5,28.408628844885204
44,4,0,-3,28.408628844885204
45,5,-5,2,28.482605577751237
46,5,-5,-1,28.482605577751237
47,5,-3,-4,28.482605577751237
48,5,-2,-1,28.482605577751237
49,5,0,0,28.482605577751237
50,5,-1,2,28.482605577751237
51,5,1,4,28.482605577751237
52,5,2,5,28.482605577751237
53,5,-5,5,28.482605577751237
54,6,1,1,27.001396883575293
55,6,2,-1,27.001396883575293
56,6,3,-2,27.001396883575293
57,6,0,-5,27.001396883575293
58,6,-4,-4,27.001396883575293
59,6,-5,1,27.001396883575293
60,6,-4,2,27.001396883575293
61,6,-3,2,27.001396883575293
62,6,1,4,27.001396883575293
63,7,4,4,29.46096102709017
64,7,0,5,29.46096102709017
65,7,0,3,29.46096102709017
66,7,-4,-3,29.46096102709017
67,7,-4,-3,29.46096102709017
68,7,-3,-4,29.46096102709017
69,7,0,-4,29.46096102709017
70,7,1,-5,29.46096102709017
71,7,5,2,29.46096102709017
