,p,T,eps,n,alpha,beta,gamma,Error
0,3,2,0.01,2,0.01,5,0.9,1.019541894
1,3,2,0.01,2,0.01,5,1.0,1
2,3,2,0.01,2,0.01,10,0.9,1
3,3,2,0.01,2,0.01,10,1.0,1.036565104
4,3,2,0.01,2,0.1,5,0.9,1
5,3,2,0.01,2,0.1,5,1.0,1.040726501
6,3,2,0.01,2,0.1,10,0.9,1
7,3,2,0.01,2,0.1,10,1.0,1
8,3,2,0.01,3,0.01,5,0.9,1
9,3,2,0.01,3,0.01,5,1.0,1.019541894
10,3,2,0.01,3,0.01,10,0.9,1.04106836
11,3,2,0.01,3,0.01,10,1.0,OverFlow
12,3,2,0.01,3,0.1,5,0.9,1.0
13,3,2,0.01,3,0.1,5,1.0,1.038871646155228
14,3,2,0.01,3,0.1,10,0.9,1.0207106781186548
15,3,2,0.01,3,0.1,10,1.0,1.0195418942571515
16,3,2,0.1,2,0.01,5,0.9,1.0365651041042399
17,3,2,0.1,2,0.01,5,1.0,1.1147855280164756
18,3,2,0.1,2,0.01,10,0.9,1.2339500463475692
19,3,2,0.1,2,0.01,10,1.0,1.1674520682424214
20,3,2,0.1,2,0.1,5,0.9,1.1601950047998126
21,3,2,0.1,2,0.1,5,1.0,1.2301157411628378
22,3,2,0.1,2,0.1,10,0.9,1.1151834412279464
23,3,2,0.1,2,0.1,10,1.0,1.1677621832914171
24,3,2,0.1,3,0.01,5,0.9,1.1911605126223377
25,3,2,0.1,3,0.01,5,1.0,1.1461930476482025
26,3,2,0.1,3,0.01,10,0.9,1.3387645951769118
27,3,2,0.1,3,0.01,10,1.0,1.0887445754676468
28,3,2,0.1,3,0.1,5,0.9,1.2388045285403726
29,3,2,0.1,3,0.1,5,1.0,1.1559374781598863
30,3,2,0.1,3,0.1,10,0.9,1.1362050924606188
31,3,2,0.1,3,0.1,10,1.0,1.1120317376695792
