,Graph,x,y,approxOrder,actualDist,approxDist,approxRatio
0,0,2,0,2,28.63403641656761,37.394148880090604,1.3059335518080994
1,0,4,-3,4,28.63403641656761,37.394148880090604,1.3059335518080994
2,0,3,-4,5,28.63403641656761,37.394148880090604,1.3059335518080994
3,0,1,-3,1,28.63403641656761,37.394148880090604,1.3059335518080994
4,0,-1,-4,3,28.63403641656761,37.394148880090604,1.3059335518080994
5,0,-1,0,0,28.63403641656761,37.394148880090604,1.3059335518080994
6,0,-4,3,6,28.63403641656761,37.394148880090604,1.3059335518080994
7,0,-5,3,7,28.63403641656761,37.394148880090604,1.3059335518080994
8,0,-3,5,8,28.63403641656761,37.394148880090604,1.3059335518080994
9,1,1,5,0,29.2354482753112,29.2354482753112,1.0
10,1,5,0,1,29.2354482753112,29.2354482753112,1.0
11,1,2,-4,2,29.2354482753112,29.2354482753112,1.0
12,1,1,-1,3,29.2354482753112,29.2354482753112,1.0
13,1,-1,0,4,29.2354482753112,29.2354482753112,1.0
14,1,-4,0,5,29.2354482753112,29.2354482753112,1.0
15,1,-4,3,6,29.2354482753112,29.2354482753112,1.0
16,1,-1,5,7,29.2354482753112,29.2354482753112,1.0
17,1,0,4,8,29.2354482753112,29.2354482753112,1.0
18,2,-4,5,0,37.239926721865984,37.239926721865984,1.0
19,2,4,5,1,37.239926721865984,37.239926721865984,1.0
20,2,4,3,2,37.239926721865984,37.239926721865984,1.0
21,2,0,1,3,37.239926721865984,37.239926721865984,1.0
22,2,2,-1,4,37.239926721865984,37.239926721865984,1.0
23,2,1,-2,5,37.239926721865984,37.239926721865984,1.0
24,2,1,-4,6,37.239926721865984,37.239926721865984,1.0
25,2,-5,-5,7,37.239926721865984,37.239926721865984,1.0
26,2,-3,2,8,37.239926721865984,37.239926721865984,1.0
27,3,-5,0,0,29.53426619290308,29.53426619290308,1.0
28,3,-1,1,1,29.53426619290308,29.53426619290308,1.0
29,3,-1,2,2,29.53426619290308,29.53426619290308,1.0
30,3,0,4,3,29.53426619290308,29.53426619290308,1.0
31,3,2,5,4,29.53426619290308,29.53426619290308,1.0
32,3,3,-2,5,29.53426619290308,29.53426619290308,1.0
33,3,4,-3,6,29.53426619290308,29.53426619290308,1.0
34,3,2,-5,7,29.53426619290308,29.53426619290308,1.0
35,3,1,-4,8,29.53426619290308,29.53426619290308,1.0
36,4,-2,-1,0,28.408628844885204,28.408628844885204,1.0
37,4,0,4,1,28.408628844885204,28.408628844885204,1.0
38,4,-3,3,2,28.408628844885204,28.408628844885204,1.0
39,4,-5,-3,3,28.408628844885204,28.408628844885204,1.0
40,4,-5,-5,4,28.408628844885204,28.408628844885204,1.0
41,4,-3,-5,5,28.408628844885204,28.408628844885204,1.0
42,4,-1,-4,6,28.408628844885204,28.408628844885204,1.0
43,4,1,-5,7,28.408628844885204,28.408628844885204,1.0
44,4,0,-3,8,28.408628844885204,28.408628844885204,1.0
45,5,-5,2,0,28.48260557775124,28.482605577751237,0.9999999999999999
46,5,-5,-1,1,28.48260557775124,28.482605577751237,0.9999999999999999
47,5,-3,-4,2,28.48260557775124,28.482605577751237,0.9999999999999999
48,5,-2,-1,3,28.48260557775124,28.482605577751237,0.9999999999999999
49,5,0,0,4,28.48260557775124,28.482605577751237,0.9999999999999999
50,5,-1,2,5,28.48260557775124,28.482605577751237,0.9999999999999999
51,5,1,4,6,28.48260557775124,28.482605577751237,0.9999999999999999
52,5,2,5,7,28.48260557775124,28.482605577751237,0.9999999999999999
53,5,-5,5,8,28.48260557775124,28.482605577751237,0.9999999999999999
54,6,1,1,0,27.001396883575293,27.001396883575293,1.0
55,6,2,-1,1,27.001396883575293,27.001396883575293,1.0
56,6,3,-2,2,27.001396883575293,27.001396883575293,1.0
57,6,0,-5,3,27.001396883575293,27.001396883575293,1.0
58,6,-4,-4,4,27.001396883575293,27.001396883575293,1.0
59,6,-5,1,5,27.001396883575293,27.001396883575293,1.0
60,6,-4,2,6,27.001396883575293,27.001396883575293,1.0
61,6,-3,2,7,27.001396883575293,27.001396883575293,1.0
62,6,1,4,8,27.001396883575293,27.001396883575293,1.0
63,7,4,4,0,29.46096102709017,29.46096102709017,1.0
64,7,0,5,1,29.46096102709017,29.46096102709017,1.0
65,7,0,3,2,29.46096102709017,29.46096102709017,1.0
66,7,-4,-3,3,29.46096102709017,29.46096102709017,1.0
67,7,-4,-3,4,29.46096102709017,29.46096102709017,1.0
68,7,-3,-4,5,29.46096102709017,29.46096102709017,1.0
69,7,0,-4,6,29.46096102709017,29.46096102709017,1.0
70,7,1,-5,7,29.46096102709017,29.46096102709017,1.0
71,7,5,2,8,29.46096102709017,29.46096102709017,1.0
